Period,States and Territories,SA4 name,SA3 name,SA2 name,ATMs,Bank_post,Branch,Other face-to-face,Total,ATM_prop,Branch_prop,Bank_post_prop,Other_prop
2021-06-30,SA,Barossa - Yorke - Mid North,Mid North,Port Pirie Surrounds,0,1,0,2,3,0.0,0.0,0.3333333333333333,0.6666666666666666
2021-06-30,SA,Barossa - Yorke - Mid North,Yorke Peninsula,Kadina,4,1,4,4,13,0.3076923076923077,0.3076923076923077,0.07692307692307693,0.3076923076923077
2021-06-30,SA,Barossa - Yorke - Mid North,Yorke Peninsula,Moonta,1,2,1,0,4,0.25,0.25,0.5,0.0
2021-06-30,SA,Barossa - Yorke - Mid North,Yorke Peninsula,Wallaroo,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Barossa - Yorke - Mid North,Yorke Peninsula,Yorke Peninsula - North,4,5,3,4,16,0.25,0.1875,0.3125,0.25
2021-06-30,SA,Barossa - Yorke - Mid North,Yorke Peninsula,Yorke Peninsula - South,2,5,2,1,10,0.2,0.2,0.5,0.1
2021-06-30,SA,South Australia - Outback,Eyre Peninsula and South West,Ceduna,2,2,2,0,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2021-06-30,SA,South Australia - Outback,Eyre Peninsula and South West,Eyre Peninsula,4,4,3,1,12,0.3333333333333333,0.25,0.3333333333333333,0.08333333333333333
2021-06-30,SA,South Australia - Outback,Eyre Peninsula and South West,Kimba - Cleve - Franklin Harbour,3,4,4,2,13,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.15384615384615385
2021-06-30,SA,South Australia - Outback,Eyre Peninsula and South West,Le Hunte - Elliston,1,5,1,2,9,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.2222222222222222
2021-06-30,SA,South Australia - Outback,Eyre Peninsula and South West,Port Lincoln,6,1,7,4,18,0.3333333333333333,0.3888888888888889,0.05555555555555555,0.2222222222222222
